KIC,Teff,e_Teff,r_Teff,n_Teff,log(g),e_log(g),r_log(g),n_log(g),[Fe/H],e_[Fe/H],r_[Fe/H],n_[Fe/H],T,Teff1,log.g1,[Fe/H]1,R,M,n_M,rho,Ref,_RA,_DE
 ,K,K, , ,[cm/s2],[cm/s2], , ,[Sun],[Sun], , , ,K,[cm/s2],[Sun],Rsun,Msun, ,g/cm3, ,deg,deg
--------,-----,----,--,---,------,------,--,---,------,------,--,---,---,-----,------,------,-------,------,----,---------,--,---------,---------
8013492,5469,163,1,PHO,3.552,0.4,0,KIC,0.023,0.3,0,KIC,1,5481,3.551,0.04,3.576,1.658,DSEP,5.10E-02,  ,285.21426,43.85302
,,,,,,,,,,,,,,,,,,,,,,,
8018599,6013,210,10,PHO,3.579,0.03,10,AST,-0.2,0.3,10,PHO,1,6013,3.579,-0.2,3.32,1.53,MULT,5.89E-02,10,287.88528,43.81491
,,,,,,,,,,,,,,,,,,,,,,,
8019753,6325,183,1,PHO,3.561,0.4,0,KIC,0.104,0.3,0,KIC,1,6328,3.569,0.1,3.591,1.745,DSEP,5.31E-02,  ,288.43231,43.85197
,,,,,,,,,,,,,,,,,,,,,,,
8023111,5263,157,1,PHO,3.575,0.4,0,KIC,-0.293,0.3,0,KIC,1,5263,3.559,-0.3,3.174,1.331,DSEP,5.86E-02,  ,289.88336,43.85669
,,,,,,,,,,,,,,,,,,,,,,,
8023523,5460,171,1,PHO,3.593,0.4,0,KIC,-0.638,0.3,0,KIC,1,5452,3.602,-0.64,2.72,1.079,DSEP,7.55E-02,  ,290.03757,43.87613
,,,,,,,,,,,,,,,,,,,,,,,
8025708,5119,154,1,PHO,3.582,0.4,0,KIC,-0.016,0.3,0,KIC,1,5122,3.582,-0.02,3.146,1.38,DSEP,6.24E-02,  ,290.72775,43.81825
,,,,,,,,,,,,,,,,,,,,,,,
8026274,5169,151,1,PHO,3.592,0.4,0,KIC,-0.409,0.3,0,KIC,1,5167,3.601,-0.4,2.635,1.01,DSEP,7.77E-02,  ,290.91513,43.86626
,,,,,,,,,,,,,,,,,,,,,,,
8039355,5221,163,1,PHO,3.591,0.4,0,KIC,-0.074,0.3,0,KIC,1,5225,3.591,-0.08,3.17,1.432,DSEP,6.33E-02,  ,295.36191,43.88326
,,,,,,,,,,,,,,,,,,,,,,,
8052184,5195,160,1,PHO,3.555,0.4,0,KIC,-0.29,0.3,0,KIC,1,5196,3.559,-0.3,3.045,1.226,DSEP,6.12E-02,  ,298.71719,43.85774
,,,,,,,,,,,,,,,,,,,,,,,
8076215,5448,157,1,PHO,3.587,0.4,0,KIC,-0.401,0.3,0,KIC,1,5437,3.57,-0.4,3.18,1.372,DSEP,6.01E-02,  ,281.95456,43.98061
,,,,,,,,,,,,,,,,,,,,,,,
8085114,5076,148,1,PHO,3.549,0.4,0,KIC,-0.359,0.3,0,KIC,1,5076,3.56,-0.36,2.673,0.946,DSEP,6.98E-02,  ,286.7099,43.94157
,,,,,,,,,,,,,,,,,,,,,,,
8098181,4821,142,1,PHO,3.506,0.4,0,KIC,-0.634,0.3,0,KIC,1,4961,3.301,-0.36,3.435,0.861,DSEP,2.99E-02,  ,292.01465,43.97829
,,,,,,,,,,,,,,,,,,,,,,,
8105513,5156,150,1,PHO,3.597,0.4,0,KIC,-0.233,0.3,0,KIC,1,5157,3.597,-0.22,2.889,1.202,DSEP,7.02E-02,  ,294.53448,43.93664
,,,,,,,,,,,,,,,,,,,,,,,
8105610,5129,156,1,PHO,3.524,0.4,0,KIC,-0.221,0.3,0,KIC,1,5127,3.533,-0.22,3.162,1.246,DSEP,5.55E-02,  ,294.56876,43.90041
,,,,,,,,,,,,,,,,,,,,,,,
8105688,5074,154,1,PHO,3.587,0.4,0,KIC,-0.488,0.3,0,KIC,1,5075,3.58,-0.48,2.456,0.836,DSEP,7.94E-02,  ,294.59683,43.93066
,,,,,,,,,,,,,,,,,,,,,,,
8109948,5141,160,1,PHO,3.558,0.4,0,KIC,-0.081,0.3,0,KIC,1,5130,3.56,-0.08,3.208,1.363,DSEP,5.82E-02,  ,295.94421,43.91934
,,,,,,,,,,,,,,,,,,,,,,,
8127684,7231,265,1,PHO,3.597,0.4,0,KIC,-0.234,0.3,0,KIC,1,7256,3.6,-0.22,3.567,1.849,DSEP,5.74E-02,  ,300.46945,43.91073
,,,,,,,,,,,,,,,,,,,,,,,
8143152,5104,156,1,PHO,3.544,0.4,0,KIC,0.246,0.3,0,KIC,1,5095,3.52,0.24,3.695,1.649,DSEP,4.61E-02,  ,281.07071,44.06862
,,,,,,,,,,,,,,,,,,,,,,,
8144161,5288,157,1,PHO,3.59,0.4,0,KIC,-0.393,0.3,0,KIC,1,5288,3.58,-0.4,2.946,1.203,DSEP,6.63E-02,  ,281.75568,44.05269
,,,,,,,,,,,,,,,,,,,,,,,
8160866,5264,162,1,PHO,3.516,0.4,0,KIC,-0.024,0.3,0,KIC,1,5274,3.503,-0.02,3.761,1.644,DSEP,4.35E-02,  ,290.11676,44.06392
,,,,,,,,,,,,,,,,,,,,,,,
8161631,5220,154,1,PHO,3.593,0.4,0,KIC,-0.292,0.3,0,KIC,1,5220,3.599,-0.3,2.882,1.203,DSEP,7.08E-02,  ,290.34174,44.01103
,,,,,,,,,,,,,,,,,,,,,,,
8173978,5117,153,1,PHO,3.535,0.4,0,KIC,-0.291,0.3,0,KIC,1,5114,3.54,-0.28,2.942,1.095,DSEP,6.06E-02,  ,294.63718,44.09898
,,,,,,,,,,,,,,,,,,,,,,,
8176747,5019,143,1,PHO,3.59,0.4,0,KIC,-0.16,0.3,0,KIC,1,5016,3.596,-0.16,2.672,1.027,DSEP,7.59E-02,  ,295.49976,44.04634
,,,,,,,,,,,,,,,,,,,,,,,
8178657,5218,166,1,PHO,3.522,0.4,0,KIC,0.1,0.3,0,KIC,1,5231,3.517,0.1,3.74,1.677,DSEP,4.52E-02,  ,296.0787,44.02369
,,,,,,,,,,,,,,,,,,,,,,,
8191602,7256,239,1,PHO,3.507,0.4,0,KIC,-0.442,0.3,0,KIC,1,7249,3.559,-0.44,3.662,1.773,DSEP,5.09E-02,  ,299.38376,44.05468
,,,,,,,,,,,,,,,,,,,,,,,
8233881,5337,164,1,PHO,3.558,0.4,0,KIC,-0.256,0.3,0,KIC,1,5343,3.571,-0.26,3.227,1.416,DSEP,5.94E-02,  ,292.00467,44.12236
,,,,,,,,,,,,,,,,,,,,,,,
8236170,5277,169,1,PHO,3.527,0.4,0,KIC,0.076,0.3,0,KIC,1,5294,3.534,0.08,3.658,1.671,DSEP,4.81E-02,  ,292.85526,44.16184
,,,,,,,,,,,,,,,,,,,,,,,
8243293,5261,155,1,PHO,3.546,0.4,0,KIC,-0.07,0.3,0,KIC,1,5245,3.546,-0.08,3.437,1.514,DSEP,5.25E-02,  ,295.23395,44.11366
,,,,,,,,,,,,,,,,,,,,,,,
8254981,5254,168,1,PHO,3.552,0.4,0,KIC,0.022,0.3,0,KIC,1,5258,3.551,0.04,3.509,1.598,DSEP,5.21E-02,  ,298.41086,44.12687
,,,,,,,,,,,,,,,,,,,,,,,
8256818,5424,157,1,PHO,3.532,0.4,0,KIC,-0.308,0.3,0,KIC,1,5420,3.547,-0.3,3.362,1.452,DSEP,5.38E-02,  ,298.86954,44.13641
,,,,,,,,,,,,,,,,,,,,,,,
8263169,5219,161,1,PHO,3.595,0.4,0,KIC,-0.196,0.3,0,KIC,1,5213,3.578,-0.2,3.102,1.329,DSEP,6.27E-02,  ,300.63107,44.18402
,,,,,,,,,,,,,,,,,,,,,,,
8265516,5280,159,1,PHO,3.55,0.4,0,KIC,-0.028,0.3,0,KIC,1,5279,3.545,-0.02,3.518,1.584,DSEP,5.12E-02,  ,301.21664,44.19621
,,,,,,,,,,,,,,,,,,,,,,,
8280636,5191,157,1,PHO,3.502,0.4,0,KIC,-0.159,0.3,0,KIC,1,5185,3.493,-0.16,3.573,1.45,DSEP,4.48E-02,  ,283.06616,44.22584
,,,,,,,,,,,,,,,,,,,,,,,
8292829,5281,157,1,PHO,3.521,0.4,0,KIC,-0.624,0.3,0,KIC,1,5280,3.513,-0.62,2.949,1.033,DSEP,5.67E-02,  ,289.33975,44.21318
,,,,,,,,,,,,,,,,,,,,,,,
8294193,5257,161,1,PHO,3.582,0.4,0,KIC,-0.519,0.3,0,KIC,1,5260,3.592,-0.52,2.681,1.024,DSEP,7.48E-02,  ,289.83426,44.29401
,,,,,,,,,,,,,,,,,,,,,,,
8294475,5153,154,1,PHO,3.586,0.4,0,KIC,-0.489,0.3,0,KIC,1,5155,3.596,-0.48,2.533,0.923,DSEP,8.00E-02,  ,289.93552,44.29255
,,,,,,,,,,,,,,,,,,,,,,,
8296149,5287,151,1,PHO,3.572,0.4,0,KIC,-0.345,0.3,0,KIC,1,5286,3.558,-0.34,3.163,1.319,DSEP,5.87E-02,  ,290.50067,44.20967
,,,,,,,,,,,,,,,,,,,,,,,
8296545,5154,150,1,PHO,3.595,0.4,0,KIC,-0.246,0.3,0,KIC,1,5153,3.584,-0.24,2.906,1.181,DSEP,6.78E-02,  ,290.62177,44.23629
,,,,,,,,,,,,,,,,,,,,,,,
8300074,5376,164,1,PHO,3.599,0.4,0,KIC,-0.423,0.3,0,KIC,1,5372,3.601,-0.42,2.92,1.242,DSEP,7.02E-02,  ,291.93408,44.23128
,,,,,,,,,,,,,,,,,,,,,,,
8312753,5143,167,1,PHO,3.501,0.4,0,KIC,0.472,0.3,0,KIC,1,5148,3.497,0.46,3.972,1.805,DSEP,4.06E-02,  ,296.28378,44.26197
,,,,,,,,,,,,,,,,,,,,,,,
8324301,5403,171,1,PHO,3.539,0.4,0,KIC,-0.268,0.3,0,KIC,1,5407,3.549,-0.28,3.36,1.458,DSEP,5.41E-02,  ,299.21643,44.22337
,,,,,,,,,,,,,,,,,,,,,,,
8329062,6205,228,1,PHO,3.505,0.4,0,KIC,-0.163,0.3,0,KIC,1,6210,3.499,-0.16,3.81,1.673,DSEP,4.26E-02,  ,300.62927,44.2078
,,,,,,,,,,,,,,,,,,,,,,,
8345869,5224,151,1,PHO,3.58,0.4,0,KIC,-0.34,0.3,0,KIC,1,5226,3.584,-0.34,2.903,1.178,DSEP,6.78E-02,  ,282.42834,44.33299
,,,,,,,,,,,,,,,,,,,,,,,
8349145,5211,153,1,PHO,3.584,0.4,0,KIC,-0.262,0.3,0,KIC,1,5209,3.59,-0.26,2.978,1.259,DSEP,6.71E-02,  ,284.22946,44.3756
,,,,,,,,,,,,,,,,,,,,,,,
8350839,5286,154,1,PHO,3.59,0.4,0,KIC,-0.325,0.3,0,KIC,1,5284,3.575,-0.32,3.072,1.295,DSEP,6.29E-02,  ,285.15448,44.36891
,,,,,,,,,,,,,,,,,,,,,,,
8352450,5197,154,1,PHO,3.585,0.4,0,KIC,-0.478,0.3,0,KIC,1,5197,3.595,-0.48,2.611,0.978,DSEP,7.74E-02,  ,286.07074,44.34793
,,,,,,,,,,,,,,,,,,,,,,,
8373509,5312,161,1,PHO,3.562,0.4,0,KIC,-0.079,0.3,0,KIC,1,5301,3.571,-0.08,3.339,1.513,DSEP,5.73E-02,  ,294.67932,44.32402
,,,,,,,,,,,,,,,,,,,,,,,
8377135,5412,152,1,PHO,3.569,0.4,0,KIC,-0.32,0.3,0,KIC,1,5420,3.588,-0.3,3.148,1.402,DSEP,6.33E-02,  ,295.83902,44.33237
,,,,,,,,,,,,,,,,,,,,,,,
8393323,6112,208,1,PHO,3.585,0.4,0,KIC,-0.18,0.3,0,KIC,1,6124,3.584,-0.16,3.317,1.539,DSEP,5.94E-02,  ,300.10092,44.39884
,,,,,,,,,,,,,,,,,,,,,,,
8396259,7571,264,0,KIC,3.512,0.4,0,KIC,-0.179,0.3,0,KIC,1,7575,3.57,-0.2,3.849,2.01,DSEP,4.97E-02,  ,301.0441,44.31341
,,,,,,,,,,,,,,,,,,,,,,,
8396872,8081,282,0,KIC,3.555,0.4,0,KIC,-0.108,0.3,0,KIC,1,8083,3.713,-0.1,3.294,2.046,DSEP,8.06E-02,  ,301.20895,44.36601
,,,,,,,,,,,,,,,,,,,,,,,
8397426,7252,253,0,KIC,3.554,0.4,0,KIC,-0.107,0.3,0,KIC,1,7246,3.51,-0.08,4.172,2.054,DSEP,3.99E-02,  ,301.39288,44.33605
,,,,,,,,,,,,,,,,,,,,,,,
8397448,5869,211,1,PHO,3.554,0.4,0,KIC,0.02,0.3,0,KIC,1,5872,3.584,0.02,3.368,1.588,DSEP,5.86E-02,  ,301.40244,44.39418
,,,,,,,,,,,,,,,,,,,,,,,
8397675,5680,200,1,PHO,3.552,0.4,0,KIC,-0.577,0.3,0,KIC,1,5679,3.565,-0.58,3.142,1.325,DSEP,6.01E-02,  ,301.47577,44.31976
,,,,,,,,,,,,,,,,,,,,,,,
8397763,5804,188,1,PHO,3.534,0.4,0,KIC,-0.29,0.3,0,KIC,1,5794,3.522,-0.3,3.518,1.501,DSEP,4.85E-02,  ,301.50787,44.36921
,,,,,,,,,,,,,,,,,,,,,,,
8410849,5378,156,1,PHO,3.523,0.4,0,KIC,-0.571,0.3,0,KIC,1,5377,3.528,-0.58,3.112,1.191,DSEP,5.57E-02,  ,282.27356,44.40382
,,,,,,,,,,,,,,,,,,,,,,,
8415741,5216,154,1,PHO,3.565,0.4,0,KIC,-0.274,0.3,0,KIC,1,5211,3.554,-0.28,3.127,1.279,DSEP,5.89E-02,  ,284.9964,44.49883
,,,,,,,,,,,,,,,,,,,,,,,
8424501,5343,159,1,PHO,3.588,0.4,0,KIC,-0.23,0.3,0,KIC,1,5330,3.571,-0.24,3.234,1.422,DSEP,5.92E-02,  ,289.45367,44.42384
,,,,,,,,,,,,,,,,,,,,,,,
8424890,6311,220,54,PHO,3.598,0.4,54,PHO,-0.2,0.3,54,PHO,0,6309,3.621,-0.18,3.17,1.531,DSEP,6.77E-02,  ,289.59805,44.48231
,,,,,,,,,,,,,,,,,,,,,,,
8429324,5351,167,1,PHO,3.536,0.4,0,KIC,-0.432,0.3,0,KIC,1,5351,3.543,-0.44,3.224,1.324,DSEP,5.56E-02,  ,291.27246,44.48385
,,,,,,,,,,,,,,,,,,,,,,,
8432198,5292,155,1,PHO,3.526,0.4,0,KIC,-0.184,0.3,0,KIC,1,5294,3.538,-0.18,3.437,1.486,DSEP,5.16E-02,  ,292.36618,44.43603
,,,,,,,,,,,,,,,,,,,,,,,
8447004,5538,181,1,PHO,3.581,0.4,0,KIC,0.072,0.3,0,KIC,1,5534,3.588,0.06,3.367,1.602,DSEP,5.91E-02,  ,297.27097,44.43301
,,,,,,,,,,,,,,,,,,,,,,,
8454553,7010,222,1,PHO,3.584,0.4,0,KIC,-0.206,0.3,0,KIC,1,6996,3.627,-0.2,3.359,1.742,DSEP,6.48E-02,  ,299.15482,44.43187
,,,,,,,,,,,,,,,,,,,,,,,
8454572,5145,151,1,PHO,3.571,0.4,0,KIC,-0.13,0.3,0,KIC,1,5145,3.588,-0.12,3.055,1.321,DSEP,6.53E-02,  ,299.15771,44.42173
,,,,,,,,,,,,,,,,,,,,,,,
8455848,6390,233,1,PHO,3.565,0.4,0,KIC,0.231,0.3,0,KIC,1,6385,3.552,0.24,3.799,1.875,DSEP,4.82E-02,  ,299.49265,44.46196
,,,,,,,,,,,,,,,,,,,,,,,
8460381,6704,232,1,PHO,3.56,0.4,0,KIC,-0.045,0.3,0,KIC,1,6698,3.573,-0.06,3.619,1.787,DSEP,5.31E-02,  ,300.7088,44.49688
,,,,,,,,,,,,,,,,,,,,,,,
8461730,7982,279,0,KIC,3.543,0.4,0,KIC,-0.123,0.3,0,KIC,1,7959,3.698,-0.14,3.341,2.032,DSEP,7.67E-02,  ,301.17813,44.43615
,,,,,,,,,,,,,,,,,,,,,,,
8461797,5840,208,1,PHO,3.577,0.4,0,KIC,-0.27,0.3,0,KIC,1,5834,3.571,-0.26,3.279,1.46,DSEP,5.83E-02,  ,301.20285,44.40967
,,,,,,,,,,,,,,,,,,,,,,,
8479301,5147,146,1,PHO,3.581,0.4,0,KIC,-0.493,0.3,0,KIC,1,5146,3.573,-0.5,2.579,0.908,DSEP,7.46E-02,  ,284.2301,44.55231
,,,,,,,,,,,,,,,,,,,,,,,
8481716,5271,155,1,PHO,3.597,0.4,0,KIC,-0.394,0.3,0,KIC,1,5272,3.6,-0.4,2.813,1.149,DSEP,7.27E-02,  ,285.64835,44.52673
,,,,,,,,,,,,,,,,,,,,,,,
8482229,5245,156,1,PHO,3.555,0.4,0,KIC,-0.277,0.3,0,KIC,1,5252,3.559,-0.28,3.179,1.336,DSEP,5.86E-02,  ,285.9595,44.51096
,,,,,,,,,,,,,,,,,,,,,,,
8487817,5392,165,1,PHO,3.55,0.4,0,KIC,0.274,0.3,0,KIC,1,5397,3.56,0.28,3.603,1.718,DSEP,5.17E-02,  ,288.9473,44.5099
,,,,,,,,,,,,,,,,,,,,,,,
8489712,8572,300,0,KIC,3.515,0.4,0,KIC,-0.333,0.3,0,KIC,1,8592,3.535,-0.5,4.221,2.229,DSEP,4.17E-02,  ,289.74789,44.56215
,,,,,,,,,,,,,,,,,,,,,,,
8505986,5245,150,1,PHO,3.569,0.4,0,KIC,-0.434,0.3,0,KIC,1,5242,3.562,-0.44,2.89,1.112,DSEP,6.49E-02,  ,295.68246,44.55769
,,,,,,,,,,,,,,,,,,,,,,,
8515980,5957,193,1,PHO,3.597,0.4,0,KIC,-0.254,0.3,0,KIC,1,5949,3.581,-0.26,3.239,1.458,DSEP,6.05E-02,  ,298.42044,44.55613
,,,,,,,,,,,,,,,,,,,,,,,
8516008,8544,299,0,KIC,3.595,0.4,0,KIC,-0.029,0.3,0,KIC,1,8540,3.581,0.07,4.328,2.603,DSEP,4.52E-02,  ,298.42801,44.59518
,,,,,,,,,,,,,,,,,,,,,,,
8517361,6942,240,1,PHO,3.554,0.4,0,KIC,-0.118,0.3,0,KIC,1,6942,3.537,-0.12,3.873,1.885,DSEP,4.57E-02,  ,298.76575,44.54072
,,,,,,,,,,,,,,,,,,,,,,,
8517766,5409,163,1,PHO,3.557,0.4,0,KIC,-0.105,0.3,0,KIC,1,5391,3.552,-0.12,3.457,1.555,DSEP,5.30E-02,  ,298.87576,44.55164
,,,,,,,,,,,,,,,,,,,,,,,
8518483,5936,207,1,PHO,3.584,0.4,0,KIC,-0.315,0.3,0,KIC,1,5927,3.568,-0.32,3.269,1.442,DSEP,5.82E-02,  ,299.08194,44.55568
,,,,,,,,,,,,,,,,,,,,,,,
8518763,5476,171,1,PHO,3.599,0.4,0,KIC,-0.168,0.3,0,KIC,1,5476,3.584,-0.18,3.258,1.485,DSEP,6.05E-02,  ,299.15112,44.59693
,,,,,,,,,,,,,,,,,,,,,,,
8519694,5463,182,1,PHO,3.513,0.4,0,KIC,-0.521,0.3,0,KIC,1,5466,3.545,-0.52,3.236,1.34,DSEP,5.57E-02,  ,299.38531,44.56321
,,,,,,,,,,,,,,,,,,,,,,,
8519706,5810,173,1,PHO,3.529,0.4,0,KIC,-0.136,0.3,0,KIC,1,5808,3.508,-0.14,3.7,1.607,DSEP,4.47E-02,  ,299.38766,44.50749
,,,,,,,,,,,,,,,,,,,,,,,
8521851,6463,188,1,PHO,3.547,0.4,0,KIC,-0.111,0.3,0,KIC,1,6463,3.567,-0.1,3.542,1.689,DSEP,5.35E-02,  ,299.95737,44.55622
,,,,,,,,,,,,,,,,,,,,,,,
8522218,5884,212,1,PHO,3.593,0.4,0,KIC,-0.361,0.3,0,KIC,1,5877,3.614,-0.38,3.024,1.372,DSEP,6.99E-02,  ,300.04868,44.59667
,,,,,,,,,,,,,,,,,,,,,,,
8523194,7537,263,0,KIC,3.529,0.4,0,KIC,-0.542,0.3,0,KIC,1,7549,3.507,-0.56,4.012,1.885,DSEP,4.11E-02,  ,300.31799,44.53511
,,,,,,,,,,,,,,,,,,,,,,,
8539251,5080,177,54,PHO,3.579,0.4,54,PHO,-0.26,0.3,54,PHO,0,5081,3.58,-0.26,2.736,1.039,DSEP,7.15E-02,  ,281.70621,44.63462
,,,,,,,,,,,,,,,,,,,,,,,
8544630,5148,148,1,PHO,3.529,0.4,0,KIC,-0.349,0.3,0,KIC,1,5148,3.518,-0.34,3.033,1.107,DSEP,5.59E-02,  ,284.63495,44.67674
,,,,,,,,,,,,,,,,,,,,,,,
8546992,5778,202,54,PHO,3.504,0.4,54,PHO,-0.64,0.3,54,PHO,0,5783,3.516,-0.62,3.382,1.369,DSEP,4.98E-02,  ,285.99835,44.63911
,,,,,,,,,,,,,,,,,,,,,,,
8547279,5174,181,10,PHO,3.509,0.03,10,AST,-0.2,0.3,10,PHO,1,5174,3.509,-0.2,3.34,1.32,MULT,4.96E-02,10,286.15067,44.69165
,,,,,,,,,,,,,,,,,,,,,,,
8547366,7968,278,0,KIC,3.59,0.4,0,KIC,-0.265,0.3,0,KIC,1,7976,3.656,-0.28,3.46,1.98,DSEP,6.73E-02,  ,286.20068,44.64772
,,,,,,,,,,,,,,,,,,,,,,,
8547564,5098,147,1,PHO,3.597,0.4,0,KIC,-0.456,0.3,0,KIC,1,5096,3.606,-0.46,2.424,0.864,DSEP,8.54E-02,  ,286.30109,44.63005
,,,,,,,,,,,,,,,,,,,,,,,
8553297,5402,163,1,PHO,3.531,0.4,0,KIC,-0.461,0.3,0,KIC,1,5396,3.529,-0.48,3.311,1.351,DSEP,5.24E-02,  ,289.23236,44.69945
,,,,,,,,,,,,,,,,,,,,,,,
8560861,7870,275,0,KIC,3.532,0.4,0,KIC,-0.084,0.3,0,KIC,1,7854,3.669,-0.12,3.462,2.039,DSEP,6.92E-02,  ,292.1394,44.67274
,,,,,,,,,,,,,,,,,,,,,,,
8564379,5076,157,1,PHO,3.596,0.4,0,KIC,0.078,0.3,0,KIC,1,5079,3.586,0.08,3.165,1.407,DSEP,6.25E-02,  ,293.56296,44.66672
,,,,,,,,,,,,,,,,,,,,,,,
8570313,5270,164,1,PHO,3.573,0.4,0,KIC,0.006,0.3,0,KIC,1,5266,3.579,0,3.331,1.535,DSEP,5.85E-02,  ,295.62509,44.65208
,,,,,,,,,,,,,,,,,,,,,,,
8585160,6160,219,1,PHO,3.511,0.4,0,KIC,-0.164,0.3,0,KIC,1,6161,3.487,-0.18,3.86,1.667,DSEP,4.08E-02,  ,299.5946,44.60834
,,,,,,,,,,,,,,,,,,,,,,,
8607372,5321,153,1,PHO,3.587,0.4,0,KIC,-0.42,0.3,0,KIC,1,5321,3.593,-0.42,2.893,1.198,DSEP,6.97E-02,  ,283.53061,44.76185
,,,,,,,,,,,,,,,,,,,,,,,
8610528,5201,157,1,PHO,3.512,0.4,0,KIC,0.124,0.3,0,KIC,1,5185,3.492,0.1,3.848,1.677,DSEP,4.15E-02,  ,285.31491,44.72618
,,,,,,,,,,,,,,,,,,,,,,,
8611731,5394,164,1,PHO,3.571,0.4,0,KIC,-0.607,0.3,0,KIC,1,5388,3.558,-0.6,2.933,1.133,DSEP,6.33E-02,  ,285.9733,44.73634
,,,,,,,,,,,,,,,,,,,,,,,
8612203,5434,169,1,PHO,3.589,0.4,0,KIC,-0.243,0.3,0,KIC,1,5440,3.607,-0.24,3.102,1.421,DSEP,6.70E-02,  ,286.24051,44.79644
,,,,,,,,,,,,,,,,,,,,,,,
8618794,5138,151,1,PHO,3.585,0.4,0,KIC,-0.103,0.3,0,KIC,1,5134,3.59,-0.1,3.058,1.326,DSEP,6.54E-02,  ,289.56384,44.70689
,,,,,,,,,,,,,,,,,,,,,,,
8624333,5156,156,1,PHO,3.537,0.4,0,KIC,-0.247,0.3,0,KIC,1,5158,3.537,-0.24,3.178,1.267,DSEP,5.56E-02,  ,291.62289,44.7104
,,,,,,,,,,,,,,,,,,,,,,,
8631121,5146,165,1,PHO,3.545,0.4,0,KIC,0.214,0.3,0,KIC,1,5142,3.545,0.22,3.586,1.645,DSEP,5.03E-02,  ,294.25287,44.71916
,,,,,,,,,,,,,,,,,,,,,,,
8643582,8571,299,0,KIC,3.537,0.4,0,KIC,0.029,0.3,0,KIC,1,8570,3.541,0.07,4.533,2.606,DSEP,3.94E-02,  ,297.91321,44.73404
,,,,,,,,,,,,,,,,,,,,,,,
8645806,8077,282,0,KIC,3.545,0.4,0,KIC,-0.158,0.3,0,KIC,1,8072,3.717,-0.14,3.269,2.031,DSEP,8.19E-02,  ,298.4455,44.72151
,,,,,,,,,,,,,,,,,,,,,,,
8646530,6648,252,1,PHO,3.559,0.4,0,KIC,0.104,0.3,0,KIC,1,6638,3.587,0.1,3.609,1.835,DSEP,5.50E-02,  ,298.63882,44.79045
,,,,,,,,,,,,,,,,,,,,,,,
8647753,7891,276,0,KIC,3.514,0.4,0,KIC,-0.188,0.3,0,KIC,1,7854,3.639,-0.22,3.551,2.002,DSEP,6.30E-02,  ,298.96597,44.79524
,,,,,,,,,,,,,,,,,,,,,,,
8648195,5929,200,1,PHO,3.591,0.4,0,KIC,-0.144,0.3,0,KIC,1,5941,3.602,-0.14,3.198,1.492,DSEP,6.42E-02,  ,299.09055,44.70299
,,,,,,,,,,,,,,,,,,,,,,,
8651745,5672,188,1,PHO,3.586,0.4,0,KIC,-0.092,0.3,0,KIC,1,5670,3.596,-0.1,3.234,1.505,DSEP,6.27E-02,  ,300.06491,44.74958
,,,,,,,,,,,,,,,,,,,,,,,
8653513,5469,176,1,PHO,3.586,0.4,0,KIC,-0.025,0.3,0,KIC,1,5466,3.577,-0.02,3.391,1.582,DSEP,5.72E-02,  ,300.52454,44.77417
,,,,,,,,,,,,,,,,,,,,,,,
8654982,5511,179,1,PHO,3.524,0.4,0,KIC,-0.237,0.3,0,KIC,1,5509,3.502,-0.24,3.694,1.58,DSEP,4.42E-02,  ,300.92767,44.78339
,,,,,,,,,,,,,,,,,,,,,,,
8655205,5892,203,1,PHO,3.556,0.4,0,KIC,-0.172,0.3,0,KIC,1,5892,3.547,-0.18,3.457,1.535,DSEP,5.23E-02,  ,300.99393,44.70386
,,,,,,,,,,,,,,,,,,,,,,,
8656566,5894,206,54,PHO,3.594,0.4,54,PHO,-0.02,0.3,54,PHO,0,5884,3.616,-0.02,3.181,1.525,DSEP,6.68E-02,  ,301.51691,44.7843
,,,,,,,,,,,,,,,,,,,,,,,
8671842,5119,150,1,PHO,3.534,0.4,0,KIC,-0.696,0.3,0,KIC,1,5139,3.491,-0.64,2.692,0.818,DSEP,5.91E-02,  ,283.41772,44.82103
,,,,,,,,,,,,,,,,,,,,,,,
8674803,5281,158,1,PHO,3.582,0.4,0,KIC,-0.183,0.3,0,KIC,1,5278,3.591,-0.18,3.137,1.401,DSEP,6.39E-02,  ,285.03555,44.81029
,,,,,,,,,,,,,,,,,,,,,,,
8675043,5067,153,1,PHO,3.505,0.4,0,KIC,-0.974,0.3,0,KIC,1,5164,3.324,-0.78,3.241,0.808,DSEP,3.34E-02,  ,285.15988,44.88871
,,,,,,,,,,,,,,,,,,,,,,,
8675259,5122,151,1,PHO,3.53,0.4,0,KIC,-0.429,0.3,0,KIC,1,5123,3.528,-0.42,2.815,0.976,DSEP,6.16E-02,  ,285.28778,44.89107
,,,,,,,,,,,,,,,,,,,,,,,
8682921,5479,153,1,PHO,3.539,0.4,0,KIC,-0.332,0.3,0,KIC,1,5489,3.522,-0.32,3.51,1.497,DSEP,4.88E-02,  ,289.38367,44.82593
,,,,,,,,,,,,,,,,,,,,,,,
8685306,7194,251,0,KIC,3.567,0.4,0,KIC,-0.043,0.3,0,KIC,0,7189,3.605,-0.04,3.745,2.061,DSEP,5.53E-02,  ,290.34641,44.81751
,,,,,,,,,,,,,,,,,,,,,,,
8685982,6402,224,54,PHO,3.593,0.4,54,PHO,0.08,0.3,54,PHO,0,6389,3.58,0.07,3.536,1.736,DSEP,5.53E-02,  ,290.58044,44.88031
